NO.;ID-Parque;Circunscripcion;Zona /Lote ;Nombre del Parque;Dirección;Enlace GoogleMap;Latitud;Longitud;Localidad o barrio;M2;Contenes;Aceras M2;Poblacion masculino;Poblacion Femenino;Poblacion Total;TIPO;Letrero-Principal;NORMAS GENERALES;RAMPA ACCESIBILIDAD;GAZEBO;CAPILLA;LUMINARIAS;BANCOS;MESA PICNIC;PAPELERAS;JUEGOS NIÑOS;MAQUINAS EJERCICIOS;LLAVE DE AGUA;TOMACORRIENTE;ARBOLADO EXISTENTE;NUEVAS ESPECIES ARBOLADO SEMBRADAS;SUPERFICIE AJARDINADA PERMEABLE;BANDERAS;REFLECTORES;Señalecticas;ESTATUAS;JARDINERAS;CANCHAS DEPORTIVAS;"CANCHAS
DEPORTIVAS SOCCER";TINACO;PARQUE CANINO;BAÑOS;PISTA DE BICICLETA;OFICINA;CONTENEDORES;CISTERNA;ALMACEN;MURALES;KARTING;MALLAS PERIMETRALES;BUHONEROS;NEGOCIOS;Fecha Inauguracion;DIA;MES;AÑO;ETAPAS;Circ.;Dif.;TIPO/ REMO;Condicion Actual;Fecha Ultimo Mantenimiento;Fecha Proximo Mantenimiento
11;ADN-P-11;C1;ZONA 09;PARQUE SAN LAZARO;CALLE SANTOME ESQ CALLE JUAN ISIDRO PEREZ;https://goo.gl/maps/AS8eWfVhemNFz4ui7;18.4742713;-69.8912811;SAN LAZARO;899.16;90.77;181.54;2489;3046;5535;Parque;3;0;1;0;0;13;12;0;4;0;0;0;0;11;13;35.1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;14/5/21;14;MAYO;2021;;1;1;Remozado;Optima condiciones;;
12;ADN-P-12;C2;ZONA 01;PARQUE CRISANTEMOS;AVE LOS PROCERES PARALELAS CALLES CRISANTEMOS;https://maps.app.goo.gl/N8wNjRQDnRW3yXcr7;18,487906;-69,958176;JARDINEs DEL NORTE;8111.09;572.33;1144.66;6295;7445;13740;Parque;2;0;0;0;0;44;28;0;0;14;0;0;0;151;151;1394.3;0;1;40;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30/7/21;30;JULIO;2021;;2;1;Nuevo;Optima condiciones;;
13;ADN-P-13;C1;ZONA 07;PARQUE IBEROAMERICA;AVE. ALMA MATER ESQ. CESAR NICOLAS PENSON;https://goo.gl/maps/TvHREEZXiMt7E4Gw7;18.4670462;-69.9222689;LA ESPERILLA;115090;985.1;1970.2;3663;4458;8121;Parque;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21/10/21;21;OCTUBRE;2021;;1;1;Remozado;Optima condiciones;;
14;ADN-P-14;C3;ZONA 10;PARQUE LA ZURZA;AVE PASEO DE LOS REYES CATOLICOS;https://maps.app.goo.gl/rqyVGWnXHS7BF9KH9;18,505433;-69,914860;LA ZURZA;1047.65;190.78;381.56;10340;9864;20204;Parque;1;0;4;0;0;22;16;0;5;4;0;0;0;4;19;245.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6/8/21;6;AGOSTO;2021;;3;1;Remozado;Optima condiciones;;
15;ADN-P-15;C1;ZONA 03;PARQUE LOS PRADITOS;AVE. DR FERNANDO ALBERTO DEFILLO;https://goo.gl/maps/JsZnHCZsmghB2kaT9;18.4692681;-69.9521889;LOS PRADITOS;410;27.73;55.46;7227;7824;15051;Parque;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27/5/21;27;MAYO;2021;;1;1;Remozado;Optima condiciones;;
16;ADN-P-16;C1;ZONA 06;PARQUE COSTA BRAVA;CALLE AZUA;https://maps.app.goo.gl/TX7CqAmHfvoAyx348;18,4452500;-69,929804;COSTA BRAVA;745;90.47;180.94;4121;5095;9216;Parque;1;6;0;1;0;10;7;0;2;8;2;0;2;28;28;86.7;0;1;19;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;22/7/21;22;JULIO;2021;;1;1;Remozado;Optima condiciones;;
17;ADN-P-17;C2;ZONA 01;PARQUE BARRIO AZUL;CALLE SAN CRISTÓBAL ;https://goo.gl/maps/Ed3L653LdN6vVy9bA;18.4975045;-69.9628211;BARRIO AZUL;150;18.54;37.08;24591;26673;51264;Parque;1;1;1;1;0;13;3;3;3;4;0;1;1;32;32;200;0;0;1;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;7/7/21;7;JULIO;2021;;2;1;Remozado;Optima condiciones;;
18;ADN-P-18;C1;ZONA 10;PARQUE BRAULIO ALVAREZ;AVE. 27 DE FEBRERO ESQ TUNTI CACERES;https://goo.gl/maps/m1rJ9DdeLoTkSzs1A;18.4829351;-69.8984829;VILLA CONSUELO;4796.66;336.29;672.58;9169;9796;18965;Parque;2;0;6;1;0;39;44;0;13;17;0;0;0;108;110;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21/10/21;21;OCTUBRE;2021;;1;1;Remozado;Procceso de intervencion por mal uso;;
19;ADN-P-19;C1;ZONA 08;OBELISCO HEMBRA (MONUMENTO A LA INDEPENDENCIA FINANCIERA);AVE. GEORGE WASHINGTON ;https://goo.gl/maps/vvWS5E97bsJE8Chd9;18.4672731;-69.8898319;CIUDAD NUEVA;2456.41;62.95;125.9;1419;1553;2972;Monumento;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7/5/21;7;MAYO;2021;;1;2;Remozado;Optima condiciones;;
20;ADN-P-20;C1;ZONA 06;PARQUE JUAN BOSCH;AVE. GEORGE WASHINGTON ;https://goo.gl/maps/Mab3LNfLiv5NywpY6;18.4679340;-69.8884835;ZONA COLONIAL;889;104.04;208.08;2489;3046;5535;Parque;0;0;1;0;0;1;7;0;2;0;0;0;0;26;26;40;1;4;0;2;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12/6/21;12;JUNIO;2021;;1;1;Remozado;Optima condiciones;;
21;ADN-P-21;C3;ZONA 10;PARQUE JOSE RAMON  SANCHEZ (ZURZA II );CALLE 38;https://goo.gl/maps/PzxjB6Vb1MLZdb8E6;18.5017829;-69.91493;LA ZURZA;254.1;33.44;66.88;10340;9864;20204;Parque;0;0;0;0;0;0;6;0;0;3;0;0;0;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6/8/21;6;AGOSTO;2021;;3;1;Nuevo;Optima condiciones;;
22;ADN-P-22;C1;ZONA 08;PLAZA DEL HOMENAJE (PARQUE SAN MARTIN);AVE. LEOPOLDO NAVARRO;https://goo.gl/maps/UzH4ufm12VqBCXtJ7;18.4816163;-69.9072282;MIRAFLORES;1034;370.07;740.14;757;907;1664;Plaza;0;0;0;0;0;0;8;0;0;0;0;0;0;25;29;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8/7/21;8;JULIO;2021;;1;1;Remozado;Optima condiciones;;
23;ADN-P-23;C1;ZONA 08;PLAZA DEL HOMENAJE (PARQUE MAURICIO BAEZ);AVE. LEOPOLDO NAVARRO;https://goo.gl/maps/UzH4ufm12VqBCXtJ7;18.4816163;-69.9072282;MIRAFLORES;5361;164.97;329.94;757;907;1664;Plaza;1;0;0;0;0;0;0;0;13;22;0;0;0;29;34;152.2;0;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8/7/21;8;JULIO;2021;;1;1;Remozado;Optima condiciones;;
24;ADN-P-24;C1;ZONA 07;PARQUE GALICIA;JOSE CONTRERAS ESQ ABRAHAM LINCOLN;https://maps.app.goo.gl/gZGFmZtCD7kHphPU9;18,457919;-69.925850;LA JULIA;1280;165.84;331.68;2703;3203;5906;Parque;1;0;5;0;0;23;11;0;9;0;0;0;0;18;18;0;5;0;0;6;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10/6/21;10;JUNIO;2021;;1;1;Remozado;Optima condiciones;;
25;ADN-P-25;C1;ZONA 09;FUERTE DEL ANGULO  (SANTA BARBARA );AVE MELLA;https://goo.gl/maps/g4LBNpRn3mwinmrq7;18.4794962;-69.886169;ZONA COLONIAL;416.17;22.05;44.1;2489;3046;5535;Monumento;0;0;1;0;0;3;0;0;2;0;0;0;0;2;2;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7/5/21;7;MAYO;2021;;1;1;Remozado;Optima condiciones;;
26;ADN-P-26;C1;ZONA 09;PARQUE JOSEFA MARIA MORELO Y PAVON (JESUS MIO/SEÑOR MIO);AVE 30 DE MARZO;https://goo.gl/maps/XaVQkXBFKfvQhPcr8;18.476209;-69.896313;SAN CARLOS;1839;200.13;400.26;3737;4055;7792;Parque;0;0;0;0;0;41;34;0;3;0;0;0;0;31;34;92.3;0;6;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16/9/21;16;SEPTIEMBRE;2021;;1;1;Remozado;Optima condiciones;;
27;ADN-P-27;C1;ZONA 07;PLAZA RAFAEL  MARIA BARALT PEREZ;CALLE CESAR NICOLAS PENSON;https://maps.app.goo.gl/dFkEVZhMmuNbBgLx7;18.453377;-69.943122;LA ESPERILLA;1932.29;338.65;677.3;3663;4458;8121;Parque;0;0;7;2;0;0;2;0;0;0;0;;0;40;41;472;0;0;0;1;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21/10/21;21;OCTUBRE;2021;;1;1;Remozado;Optima condiciones;;
28;ADN-P-28;C1;ZONA 06;AREA RECUPERADA /ELIMINACION DE VERTEDERO DEL KM 8 1/2;AVE INDEPENDENCIA ;https://goo.gl/maps/dTixXoUMJZ17j8w28;18.4332137;-69.9631973;KM 8 1/2;32;8.95;17.9;13131;15438;28569;Area Verde- recuperada;1;0;2;0;0;5;0;0;0;0;0;0;0;10;10;18;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26/10/21;26;OCTUBRE;2021;;1;2;Nuevo;Optima condiciones;;
29;ADN-P-29;C1;ZONA 05;PLAZA CASANDRA DAMIRON;AVE WINSTON CHURCHILL;https://goo.gl/maps/9yqMrAgZWE3voRsA6;18.4601937;-69.9359792;MANGUITO;50;17.23;34.46;2703;3203;5906;Plaza;1;0;2;0;0;3;3;0;2;0;0;0;0;18;18;0;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19/5/21;19;MAYO;2021;;1;1;Remozado;Optima condiciones;;
30;ADN-P-30;C1;ZONA 09;BUSTO FRANK FELIX MIRANDA(Columna Conmemorativa Naufragio Balandra Aurora);PASEO PRESIDENTE BILLINI;https://goo.gl/maps/3sNdsZLnk3tyWaWy6;18.4661673;-69.8998513;ZONA COLONIAL;30;0;0;2489;3046;5535;Monumento;0;0;0;0;0;0;2;0;0;0;0;0;0;3;3;35;2;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8/7/21;8;JULIO;2021;;1;1;Remozado;Optima condiciones;;
31;ADN-P-31;C1;ZONA 07;MONUMENTO A LOS MEDICOS;CALLE GNERAL MODESTO DIAZ;https://maps.app.goo.gl/5u5G5D5NkeBrAtoT7;18.458005;-69.923521;VILLA MARIA;25;10.6;21.2;9169;9796;18965;Monumento;2;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1/2/21;1;FEBRERO;2021;;1;2;Nuevo;Optima condiciones;;
32;ADN-P-32;C1;ZONA 08;PARQUE EUGENIO MARIA DE HOSTOS;AVE GEORGE WASHINTONG;https://goo.gl/maps/KmvGvJobdrsbfjiLA;18.4660669;-69.8944108;GAZCUE;25877;701.33;1402.66;6851;8231;15082;Parque;1;0;6;2;0;70;132;0;13;24;0;4;2;130;132;725;2;10;25;2;47;0;0;1;0;2;0;4;0;1;0;0;0;0;0;0;3/9/21;3;SEPTIEMBRE;2021;;1;1;Remozado;Optima condiciones;;
33;ADN-P-33;C1;ZONA 09;PLAZA PATRIOTICA PROF JUAN BOSCH (CONSTITUCION);AVE GEORGE WASHINTONG;https://goo.gl/maps/W8avjYjiaYJowfSb8;18.4669553;-69.8897308;GAZCUE;886;0;0;6851;8231;15082;Plaza;1;0;0;0;0;1;4;0;1;0;0;0;0;12;12;35;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7/5/21;7;MAYO;2021;;1;1;Remozado;Optima condiciones;;
34;ADN-P-34;C2;ZONA 02;BUSTO HECTOR HOMERO HERNANDEZ;CALLE HECTOR HOMERO HERNANDEZ;https://goo.gl/maps/kVfxfipKGcpStG9d6 ;18.4890846;-69.932942;ENSANCHE LA FE;100;9.35;18.7;8085;8843;16928;Monumento;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22/9/21;22;SEPTIEMBRE;2021;;2;2;Nuevo;Optima condiciones;;
35;ADN-P-35;C2;ZONA 01;PLAZA  CONQUISTADORES;AVE. REPUBLICA DE COLOMBIA, ESQ. C/ CONQUISTADORES;https://goo.gl/maps/NLbUFK62rWtv1VPCA ;18.4985287;-69.9584773;ARROYO HONDO;70;29.16;58.32;20277;23099;43376;Plaza;0;0;0;0;0;0;0;0;0;0;0;0;0;7;10;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19/9/21;19;SEPTIEMBRE;2021;;2;1;Remozado;Optima condiciones;;
36;ADN-P-36;C2;ZONA 02;PARQUE PUERTO ISABELA (REYES CATOLICO);AVE. PASEO DE LOS REYES CATÓLICOS;https://goo.gl/maps/4frgHB4NybeAJ64H7 ;18.5075422;-69.9202515;CRISTO REY;1075.21;223.8;447.6;27448;29158;56606;Parque;0;0;0;1;0;0;3;0;0;3;0;0;0;21;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16/9/21;16;SEPTIEMBRE;2021;;2;1;Remozado;Optima condiciones;;
37;ADN-P-37;C1;ZONA 09;PARQUE EDUARDO ABREU (SAN CARLOS);CALLE 16 DE AGOSTO ESQ.C/BENITO GONZALEZ;https://goo.gl/maps/XtkKFini3jVFYeR66 ;18.474511;-69.8944498;SAN CARLOS;1885;116.51;233.02;3737;4055;7792;Parque;1;0;2;0;0;13;12;0;3;0;0;0;0;26;28;0;1;1;0;1;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30/9/21;30;SEPTIEMBRE;2021;;1;1;Remozado;Optima condiciones;;
38;ADN-P-38;C2;ZONA 01;PARQUE LA YUCA (LOS RIOS);CALLE A.(los Rios);https://goo.gl/maps/SJCSAmhw1MZYNjAJ8;18.4960725;-69.9687166;LOS RIOS;225;55.66;111.32;24591;26673;51264;Parque;0;0;1;0;0;0;5;0;0;8;0;0;0;2;4;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2/10/21;2;OCTUBRE;2021;;2;1;Remozado;Optima condiciones;;
39;ADN-P-39;C1;Z0NA 05;PARQUE RESPALDO SEMINARIO;CALLE RESPALDO SEMINARIO;https://goo.gl/maps/Vy9RWZfj2kprMaMg9;18.4624244;-69.9308027;LA JULIA;325;7.96;15.92;2703;3203;5906;Parque;1;0;1;0;0;0;4;0;0;8;0;0;0;15;17;0;0;5;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14/10/21;14;OCTUBRE;2021;;1;1;Remozado;Optima condiciones;;
40;ADN-P-40;C1;ZONA 09;PLAZA SAN MIGUEL;CALLE JOSE REYES;https://goo.gl/maps/pA8PrJRVjmPELJQy6;18.4756573;-69.8888986;ZONA COLONIAL;1402;74.98;149.96;2489;3046;5535;Plaza;0;0;2;0;0;0;11;0;2;0;0;0;0;15;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29/4/21;29;ABRIL;2021;;1;1;Remozado;Optima condiciones;;
41;ADN-P-41;C1;ZONA 09;PLAZA URUGUAY;CALLE MOISES GARCIA;https://goo.gl/maps/fupTxA3BGwFW7VYt8;18.4736683;-69.89694;GAZCUE;1783.73;287.95;575.9;6851;8231;15082;Plaza;3;0;0;0;0;30;6;0;2;0;0;0;0;45;49;0;0;0;36;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22/7/21;22;JULIO;2021;;1;1;Remozado;Optima condiciones;;
42;ADN-P-42;C2;ZONA 01;PLAZA JOSE MARTI (ESTATUA JOSE MARTI);AVE REPUBLICA DE COLOMBIA;https://goo.gl/maps/RM1AoRtftwrav7Hx5;18.4881655;-69.9618287;LOS JARDINES;2541;232.52;465.04;6295;7445;13740;Plaza;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;2281.28;3;4;0;1;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28/4/21;28;ABRIL;2021;;2;1;Remozado;Optima condiciones;;
43;ADN-P-43;C1;ZONA 06;PARQUE ATALA;CALLE SAN JUAN BAUTISTA DE LA SALLE;https://goo.gl/maps/tmF32yZp2XCQG8QR6;18.445628;-69.9417718;URB ATALA;420;47.28;94.56;1964;2426;4390;Parque;3;1;2;1;0;57;25;3;5;10;0;2;1;3;39;668.37;0;12;0;0;3;1;1;1;0;2;0;1;0;0;0;0;0;0;0;0;29/10/21;29;OCTUBRE;2021;;1;1;Remozado;Optima condiciones;;
44;ADN-P-44;C1;ZONA 08;PLAZA GUIBIA;AVE GEORGE WASHINTONG;https://goo.gl/maps/qmjEJ4eN6tGhZRZS8;18.4593498;-69.9406607;GAZCUE;10285;306.04;612.08;6851;8231;15082;Plaza;0;0;0;0;0;117;89;0;1;11;0;5;1;94;94;192;0;8;81;0;28;1;1;7;0;4;0;2;1;0;0;0;0;0;0;4;27/10/21;27;OCTUBRE;2021;;1;1;Remozado;Optima condiciones;;
45;ADN-P-45;C2;ZONA 01;PLAZA ECUADOR;CAMINO CHIQUITO;https://goo.gl/maps/oN9JSaQLyFUhdZJA8;18.5033573;-69.944415;MIRADOR DE ARROYO HONDO;3569.14;241.38;482.76;7504;8128;15632;Plaza;1;0;0;1;0;38;23;2;3;0;0;0;0;50;54;182.6;0;0;0;2;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;9/10/21;9;OCTUBRE;2021;;2;1;Remozado;Optima condiciones;;
46;ADN-P-46;C3;ZONA 10;PARQUE LINEAL MAXIMO GOMEZ  (CEMENTERIO);AVE MAXIMO GOMEZ;https://goo.gl/maps/3cBmQRX9TJAy2582A;18.4947925;-69.9189085;VILLA JUANA;256392.99;2060.26;4120.52;13747;14873;28620;Parque;0;0;0;0;0;56;0;0;0;0;0;0;0;0;206;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7/11/21;7;NOVIEMBRE;2021;;3;1;Nuevo;Optima condiciones;;
47;ADN-P-47;C1;ZONA 06;AREA RECUPERADA/ELIMINACION VERTEDERO(AVENIDA INDEPENDENCIA);AVENIDA INDEPENDENCIA;https://goo.gl/maps/Gr1dR1a1fj4xKptQ9;18.4287655;-69.9843717;KM 6 1/2;35.33;11.229;22.458;13131;15438;28569;Area Verde- recuperada;1;0;2;0;0;4;0;0;0;0;0;0;0;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8/11/21;8;NOVIEMBRE;2021;;1;2;Nuevo;Optima condiciones;;
48;ADN-P-48;C1;ZONA05;AREA RECUPERADA/ELIMINACION DE VERTEDERO LINCOLN ESQ JOSE CONTRERAS;AVE JOSE CONTRERAS;https://goo.gl/maps/T4tuarbc4fHZMwpz6;18.4582385;-69.9286323;MATA HAMBRE;15;5.2;10.4;3190;3858;7048;Area Verde- recuperada;1;0;0;0;0;3;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11/11/21;11;NOVIEMBRE;2021;;1;2;Nuevo;Optima condiciones;;
49;ADN-P-49;C1;ZONA 05;PLAZA MIRADOR NORTE (AREA VERDE CAMILA);CALLE CAMILA HERIQUEZ;https://goo.gl/maps/NVM3KDgMwrJf1cJj8;18.4512409;-69.9562215;MIRADOR NORTE;500;29.48;58.96;3403;4226;7629;Plaza;0;0;0;0;0;0;0;0;0;0;2;0;0;15;15;0;0;0;6;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12/11/21;12;NOVIEMBRE;2021;;1;1;Nuevo;Optima condiciones;;
50;ADN-P-50;C1;ZONA 05;PARQUE CAMILA HENRIQUEZ UREÑA;CALLE CAMILA HERIQUEZ;https://goo.gl/maps/NVM3KDgMwrJf1cJj8;18.4512409;-69.9562215;MIRADOR NORTE;2392;197.49;394.98;2335;2687;5022;Parque;1;0;2;0;0;6;18;0;5;11;0;0;0;38;38;0;0;2;20;0;14;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12/11/21;12;NOVIEMBRE;2021;;1;1;Remozado;Optima condiciones;;
51;ADN-P-51;C3;ZONA 10;PARQUE PEDRO LIVIO CEDEÑO;CALLE PEDRO LIVIO CEDEÑO;https://goo.gl/maps/TKt55VnSaX5nAc5c6;18.4950343;-69.900049;ENSANCHE LUPERON;1656.37;220.94;441.88;6490;8175;14665;Parque;3;0;4;1;0;32;53;0;12;11;0;0;0;33;33;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12/11/21;12;NOVIEMBRE;2021;;3;1;Remozado;Optima condiciones;;
